diretor,ano,diretor_primeiro_nome,genero
Chris Columbus,1998,Chris,male
Sean Anders,2015,Sean,male
Rob Marshall,2014,Rob,male
Spike Lee,2006,Spike,male
Brian Helgeland,1999,Brian,male
Frank Marshall,1995,Frank,male
Cameron Crowe,2011,Cameron,male
Alex Proyas,2009,Alex,male
Tom Dey,2006,Tom,male
Hideo Nakata,2005,Hideo,NA
Glenn Ficarra,2011,Glenn,male
Peter Hewitt,2004,Peter,male
Joe Roth,2004,Joe,male
Bennett Miller,2011,Bennett,male
Wolfgang Petersen,1995,Wolfgang,male
Andy Fickman,2009,Andy,male
James McTeigue,2005,James,male
David Dobkin,2003,David,male
Matthew O'Callaghan,2006,Matthew,male
Angela Robinson,2005,Angela,female
Gary Fleder,2001,Gary,male
Adrian Lyne,2002,Adrian,male
D.J. Caruso,2011,D.J.,NA
Stephen Gaghan,2005,Stephen,male
Michael Bay,2016,Michael,male
Jorge R. Gutiérrez,2014,Jorge R.,NA
Richard Loncraine,2006,Richard,male
Clint Eastwood,1997,Clint,male
Ridley Scott,1997,Ridley,male
David Fincher,1997,David,male
Howard Deutch,2000,Howard,male
Jon Hurwitz,2012,Jon,male
Steven Quale,2014,Steven,male
John Landis,1994,John,male
Joe Dante,1990,Joe,male
David Dobkin,2014,David,male
Mimi Leder,1997,Mimi,female
Carl Franklin,2003,Carl,male
Steven Seagal,1994,Steven,male
Robert Rodriguez,2005,Robert,male
Danny Boyle,2000,Danny,male
Garry Marshall,2004,Garry,male
James McTeigue,2009,James,male
Sam Raimi,1999,Sam,male
Andrew Bergman,1996,Andrew,male
Tom Dey,2010,Tom,male
Clint Eastwood,2010,Clint,male
Barbet Schroeder,2002,Barbet,NA
Rob Reiner,1999,Rob,male
Andrew Niccol,2013,Andrew,male
Clint Eastwood,2002,Clint,male
Tom Tykwer,2009,Tom,male
John Carpenter,1996,John,male
Brad Bird,1999,Brad,male
Wes Anderson,2004,Wes,male
Gary Ross,2016,Gary,male
Alan Parker,2003,Alan,male
Stephen Herek,2005,Stephen,male
Jaume Collet-Serra,2015,Jaume,NA
David Cronenberg,2007,David,male
John Stockwell,2005,John,male
David Gordon Green,2011,David Gordon,NA
Jim Sheridan,2011,Jim,male
Costa-Gavras,1997,NA,NA
Patrick Read Johnson,1994,Patrick Read,NA
Roland Joffé,1995,Roland,male
Doug Liman,2010,Doug,male
William Friedkin,1995,William,male
Mark Neveldine,2009,Mark,male
Richard LaGravenese,2013,Richard,male
Ben Stiller,2016,Ben,male
George Armitage,2004,George,male
Mike Nichols,2000,Mike,male
Patrick Lussier,2011,Patrick,male
James Wong,2001,James,male
Steven Spielberg,1989,Steven,male
Neill Blomkamp,2015,Neill,male
Phillip Noyce,1999,Phillip,male
David Fincher,2002,David,male
Chuck Bowman,2006,Chuck,male
David O. Russell,1999,David O.,NA
Iain Softley,2001,Iain,male
James Mangold,2001,James,male
Harold Ramis,2000,Harold,male
Francis Ford Coppola,1984,Francis Ford,NA
James Mangold,2007,James,male
Steven Soderbergh,1998,Steven,male
Ben Stiller,1996,Ben,male
Warren Beatty,1990,Warren,male
Penny Marshall,2001,Penny,female
Ted Kotcheff,1982,Ted,male
Paul Bolger,2006,Paul,male
Stephen Frears,1996,Stephen,male
P.J. Hogan,1997,P.J.,NA
Joe Roth,2001,Joe,male
Christopher Nolan,2002,Christopher,male
Jonathan Frakes,1996,Jonathan,male
Jimmy Hayward,2010,Jimmy,male
Edward Zwick,1996,Edward,male
Tom Shadyac,1997,Tom,male
Brian Levant,1994,Brian,male
David Zucker,2003,David,male
Donald Petrie,2000,Donald,male
Eric Brevig,2008,Eric,male
Alan J. Pakula,1993,Alan J.,NA
Joel Schumacher,1994,Joel,male
Rob Reiner,2007,Rob,male
Phillip Noyce,1992,Phillip,male
Denis Villeneuve,2013,Denis,male
Antoine Fuqua,2001,Antoine,male
Dean Parisot,1999,Dean,male
Keenen Ivory Wayans,2001,Keenen Ivory,NA
James Bobin,2011,James,male
Stephen Norrington,1998,Stephen,male
Thomas Carter,2005,Thomas,male
Roger Michell,2002,Roger,male
Luis Llosa,1997,Luis,male
David McNally,2000,David,male
John Lasseter,1998,John,male
Albert Hughes,2001,Albert,male
Ron Shelton,1996,Ron,male
Melville Shavelson,1968,Melville,male
Jesse Dylan,2005,Jesse,male
Garth Jennings,2005,Garth,male
Joel Zwick,2004,Joel,male
Frank Coraci,2014,Frank,male
Wayne Wang,2006,Wayne,male
Curtis Hanson,1994,Curtis,male
Frank Oz,1995,Frank,male
Oliver Stone,2012,Oliver,male
David R. Ellis,2004,David R.,NA
John A. Davis,2006,John A.,NA
David Lynch,1984,David,male
Julie Taymor,2007,Julie,female
Sam Mendes,2008,Sam,male
John Gray,1996,John,male
Harold Ramis,1996,Harold,male
John Schultz,2009,John,male
Sean Penn,2001,Sean,male
Susan Stroman,2005,Susan,female
Billy Bob Thornton,2000,Billy Bob,NA
Oliver Stone,1995,Oliver,male
Stephen Sommers,1998,Stephen,male
Spike Lee,2008,Spike,male
Danny Pang,2008,Danny,male
Mike Newell,2007,Mike,male
George P. Cosmatos,1997,George P.,NA
Oliver Parker,2011,Oliver,male
Lawrence Kasanoff,2012,Lawrence,male
Ben Affleck,2012,Ben,male
Andrew Davis,1993,Andrew,male
Andy Tennant,2010,Andy,male
Barry Levinson,1996,Barry,male
George P. Cosmatos,1985,George P.,NA
Brian Gibson,1996,Brian,male
Norman Ferguson,1940,Norman,male
Michael Cimino,1980,Michael,male
Len Wiseman,2006,Len,male
Paul McGuigan,2015,Paul,male
Gus Van Sant,2000,Gus Van,NA
Betty Thomas,2000,Betty,female
Roger Kumble,2002,Roger,male
Sydney Pollack,1993,Sydney,female
Burr Steers,2010,Burr,male
Simon West,2011,Simon,male
Phil Lord,2012,Phil,male
John Hamburg,2004,John,male
Reginald Hudlin,1992,Reginald,male
Paul Feig,2013,Paul,male
Frank Coraci,2012,Frank,male
Carl Franklin,2002,Carl,male
Barbra Streisand,1996,Barbra,female
Mark Pellington,2002,Mark,male
Larry Charles,2009,Larry,male
Catherine Hardwicke,2011,Catherine,female
John Herzfeld,2001,John,male
Andrew Niccol,2005,Andrew,male
Julie Anne Robinson,2012,Julie Anne,NA
Evan Goldberg,2014,Evan,male
Curtis Hanson,2002,Curtis,male
Brian Helgeland,2001,Brian,male
M. Night Shyamalan,1999,M. Night,NA
Asger Leth,2012,Asger,NA
David Frankel,2011,David,male
John G. Avildsen,1984,John G.,NA
David O. Russell,2013,David O.,NA
Anne Fletcher,2009,Anne,female
Bruce Beresford,1999,Bruce,male
Robert Zemeckis,1989,Robert,male
Sam Taylor-Johnson,2015,Sam,male
Robert Rodriguez,2003,Robert,male
Joel Schumacher,1996,Joel,male
Shawn Levy,2003,Shawn,male
Peter Berg,2013,Peter,male
Penny Marshall,1992,Penny,female
James Wan,2016,James,male
David Fincher,2010,David,male
Ken Kwapis,2009,Ken,male
David Zucker,2006,David,male
Wes Craven,2000,Wes,male
Robert Zemeckis,1990,Robert,male
Etan Cohen,2015,Etan,male
Francis Ford Coppola,1992,Francis Ford,NA
Nora Ephron,2009,Nora,female
Brian Helgeland,2013,Brian,male
Anthony Minghella,1999,Anthony,male
Bobby Farrelly,2014,Bobby,male
Frank Marshall,2006,Frank,male
Nancy Meyers,2015,Nancy,female
Tim Story,2016,Tim,male
Michael Mann,1992,Michael,male
Taylor Hackford,2004,Taylor,male
Frank Miller,2005,Frank,male
Pete Travis,2008,Pete,male
John Hamburg,2009,John,male
Gore Verbinski,2001,Gore,NA
Burr Steers,2009,Burr,male
Nick Cassavetes,2014,Nick,male
David R. Ellis,2009,David R.,NA
Steven Spielberg,2015,Steven,male
John Moore,2001,John,male
Nicholas Stoller,2010,Nicholas,male
Peter Chelsom,2004,Peter,male
Joe Dante,1998,Joe,male
Mark A.Z. Dippé,1997,Mark A.Z.,NA
Brad Furman,2011,Brad,male
Christopher Nolan,2006,Christopher,male
Sean Anders,2014,Sean,male
Cal Brunker,2013,Cal,male
Mel Gibson,2006,Mel,male
Nimród Antal,2010,Nimród,NA
Ivan Reitman,1986,Ivan,male
David Koepp,2004,David,male
Alejandro Agresti,2006,Alejandro,male
Iain Softley,2005,Iain,male
Peter Hedges,2012,Peter,male
Paul Weiland,2008,Paul,male
Francis Ford Coppola,1997,Francis Ford,NA
Mathieu Kassovitz,2003,Mathieu,male
John McTiernan,1992,John,male
Colin Strause,2007,Colin,male
Donald Petrie,1994,Donald,male
Joan Chen,2000,Joan,female
Marc Lawrence,2007,Marc,male
Greg Mottola,2011,Greg,male
Anne Fletcher,2012,Anne,female
Wes Craven,2011,Wes,male
Oliver Stone,1991,Oliver,male
Jake Kasdan,2014,Jake,male
Steven Quale,2011,Steven,male
Mimi Leder,2000,Mimi,female
Bobby Farrelly,2005,Bobby,male
Steven Brill,2008,Steven,male
Seth MacFarlane,2014,Seth,male
Russell Mulcahy,1994,Russell,male
Stephen Daldry,2011,Stephen,male
Roger Michell,2010,Roger,male
Jim Sheridan,2005,Jim,male
Christian Duguay,2000,Christian,male
Chris Columbus,2005,Chris,male
Chuck Russell,2000,Chuck,male
Sam Weisman,1999,Sam,male
John Frankenheimer,1996,John,male
Pat O'Connor,2001,Pat,female
Stephen Hopkins,2007,Stephen,male
Martin Scorsese,1973,Martin,male
Penny Marshall,1994,Penny,female
Frederik Du Chau,1998,Frederik Du,NA
Michael Caton-Jones,2002,Michael,male
Irwin Winkler,1999,Irwin,male
Joseph Kahn,2004,Joseph,male
Harold Becker,1996,Harold,male
Sofia Coppola,2006,Sofia,female
Barbet Schroeder,1995,Barbet,NA
Stephen Kay,2000,Stephen,male
Elaine May,1987,Elaine,female
Wes Anderson,2009,Wes,male
Stephen Herek,2002,Stephen,male
John Carpenter,1992,John,male
Dennie Gordon,2004,Dennie,male
Ken Kwapis,2012,Ken,male
Ulu Grosbard,1999,Ulu,NA
Paul Weitz,2009,Paul,male
Danny DeVito,2003,Danny,male
Malcolm D. Lee,2008,Malcolm D.,NA
Mic Rodgers,1999,Mic,NA
Brian Robbins,2012,Brian,male
Marc F. Adler,2008,Marc F.,NA
Pierre Morel,2015,Pierre,male
D.J. Caruso,2007,D.J.,NA
Iain Softley,1995,Iain,male
Richard Shepard,2007,Richard,male
Jeff Nathanson,2004,Jeff,male
Alex Proyas,1994,Alex,male
Robert Schwentke,2009,Robert,male
Michael Lehmann,2007,Michael,male
Joss Whedon,2005,Joss,NA
Charles S. Dutton,2004,Charles S.,NA
Peter Segal,2013,Peter,male
Andy Tennant,2002,Andy,male
Robert Luketic,2009,Robert,male
Jonathan Lynn,1996,Jonathan,male
Robert Rodriguez,2002,Robert,male
David Carson,1994,David,male
Francis Lawrence,2011,Francis,male
Norman Jewison,1999,Norman,male
Michael Apted,2002,Michael,male
David Mirkin,2001,David,male
Andy Fickman,2015,Andy,male
Luis Mandoki,2001,Luis,male
John Pasquin,2001,John,male
Michael Apted,1996,Michael,male
Stephen Herek,2001,Stephen,male
Lee Daniels,2009,Lee,male
Ridley Scott,1996,Ridley,male
John Carpenter,1982,John,male
David Twohy,2013,David,male
Jeb Stuart,1997,Jeb,male
Steve Miner,2001,Steve,male
Gil Kenan,2008,Gil,male
Paul Thomas Anderson,2012,Paul Thomas,NA
Gary Fleder,2008,Gary,male
J Blakeson,2016,J,NA
Ryan Coogler,2015,Ryan,male
Ben Affleck,2010,Ben,male
Kirk Jones,2012,Kirk,male
Ethan Coen,2008,Ethan,male
Jennifer Flackett,2008,Jennifer,female
Paul Thomas Anderson,1999,Paul Thomas,NA
Kevin Smith,2010,Kevin,male
Christian Ditter,2016,Christian,male
Charles Martin Smith,2011,Charles Martin,NA
Catherine Hardwicke,2008,Catherine,female
Nick Cassavetes,2002,Nick,male
Les Mayfield,1999,Les,male
Rawson Marshall Thurber,2013,Rawson Marshall,NA
Jonathan Mostow,1997,Jonathan,male
Steve Pink,2010,Steve,male
Charles Martin Smith,2014,Charles Martin,NA
John Frankenheimer,2000,John,male
Cameron Crowe,2015,Cameron,male
Rob Reiner,1996,Rob,male
Scott Hicks,1999,Scott,male
Mikael Håfström,2011,Mikael,male
Andrew Niccol,1997,Andrew,male
Andrew Bergman,2000,Andrew,male
Kirk De Micco,2008,Kirk De,NA
Chris Rock,2003,Chris,male
Todd Phillips,2009,Todd,male
Jay Roach,1999,Jay,male
Tim Burton,1989,Tim,male
Richard Donner,1992,Richard,male
John Lee Hancock,2009,John Lee,NA
Robert Rodriguez,2001,Robert,male
Seth Gordon,2011,Seth,male
Ethan Coen,2010,Ethan,male
David Frankel,2006,David,male
Robert Wise,1979,Robert,male
Seth Gordon,2013,Seth,male
Martin Scorsese,1991,Martin,male
Robert Luketic,2008,Robert,male
Kevin Rodney Sullivan,2005,Kevin Rodney,NA
Anthony Minghella,1996,Anthony,male
Curtis Hanson,1997,Curtis,male
Mike Mitchell,2005,Mike,male
Frank Oz,1997,Frank,male
Roger Donaldson,1995,Roger,male
Wes Craven,1984,Wes,male
Tarsem Singh,2000,Tarsem,NA
Randall Wallace,1998,Randall,male
Randall Wallace,2010,Randall,male
Michael Tollin,2003,Michael,male
Will Gluck,2011,Will,male
Nicholas Stoller,2016,Nicholas,male
John Lee Hancock,2013,John Lee,NA
Spike Lee,1992,Spike,male
Judd Apatow,2012,Judd,male
Walt Becker,2009,Walt,male
Patrick Tatopoulos,2009,Patrick,male
Ken Kwapis,2007,Ken,male
Dennis Dugan,2006,Dennis,male
Gary David Goldberg,2005,Gary David,NA
Mike Newell,1997,Mike,male
Tobe Hooper,1982,Tobe,male
Ethan Coen,2004,Ethan,male
Andrew Niccol,2011,Andrew,male
Alan Poul,2010,Alan,male
Luke Greenfield,2011,Luke,male
Gil Junger,2001,Gil,male
Michael Ritchie,1976,Michael,male
Catherine Hardwicke,2006,Catherine,female
Mike Nichols,2004,Mike,male
Clint Eastwood,2011,Clint,male
Alexandre Aja,2008,Alexandre,male
Michael Rymer,2002,Michael,male
Stephen Hopkins,1990,Stephen,male
Gregory Hoblit,2008,Gregory,male
Hugh Wilson,1999,Hugh,male
Kevin Smith,2004,Kevin,male
Rob Cohen,2012,Rob,male
Scott Mann,2015,Scott,male
Danny DeVito,1992,Danny,male
Chris Carter,2008,Chris,male
Tommy O'Haver,2004,Tommy,male
John Singleton,2011,John,male
Curtis Hanson,2000,Curtis,male
Craig Mazin,2008,Craig,male
Allen Hughes,2013,Allen,male
Wes Craven,2005,Wes,male
David Koepp,2012,David,male
Anne Fletcher,2015,Anne,female
Taylor Hackford,2013,Taylor,male
Roger Kumble,2010,Roger,male
Robert Redford,2007,Robert,male
John Milius,1991,John,male
Jake Kasdan,2007,Jake,male
Lasse Hallström,2001,Lasse,NA
Les Mayfield,2001,Les,male
Dominic Sena,2009,Dominic,male
Terrence Malick,2011,Terrence,male
Brian Helgeland,2003,Brian,male
Lexi Alexander,2008,Lexi,female
Peter Hewitt,2006,Peter,male
Robert Zemeckis,2015,Robert,male
Ronny Yu,1997,Ronny,male
Ridley Scott,2006,Ridley,male
Taylor Hackford,1993,Taylor,male
Ang Lee,1999,Ang,NA
Tony Kaye,2009,Tony,male
Wes Ball,2014,Wes,male
Ken Scott,2015,Ken,male
Martin Scorsese,1993,Martin,male
Darren Aronofsky,2006,Darren,male
Hugh Johnson,1999,Hugh,male
George Tillman Jr.,2015,George Tillman,NA
Rand Ravich,1999,Rand,male
Hugh Hudson,2000,Hugh,male
Gabriele Muccino,2012,Gabriele,female
Warren Beatty,1981,Warren,male
Rob Reiner,1992,Rob,male
Andrzej Bartkowiak,2001,Andrzej,male
Raja Gosnell,2000,Raja,male
Chris Gorak,2011,Chris,male
Scott Speer,2012,Scott,male
Joe Charbanic,2000,Joe,male
Jonathan Hensleigh,2004,Jonathan,male
Danny Cannon,2005,Danny,male
Boaz Yakin,2012,Boaz,male
Mike Newell,1999,Mike,male
Richard Marquand,1983,Richard,male
Stephen Daldry,2008,Stephen,male
David Wain,2012,David,male
Jon Favreau,2003,Jon,male
Jon Turteltaub,1996,Jon,male
Richard Donner,1988,Richard,male
Paul Feig,2011,Paul,male
Evan Goldberg,2013,Evan,male
Rupert Wainwright,1999,Rupert,male
George Tillman Jr.,2000,George Tillman,NA
John Luessenhop,2010,John,male
Justin Zackham,2013,Justin,male
John Whitesell,2011,John,male
Duncan Jones,2011,Duncan,male
Frank Marshall,1993,Frank,male
Joel Schumacher,2007,Joel,male
Steven Spielberg,1979,Steven,male
John Gatins,2005,John,male
David Cronenberg,2005,David,male
Martin Scorsese,1999,Martin,male
Miguel Sapochnik,2010,Miguel,male
Norman Jewison,1996,Norman,male
Don Scardino,2013,Don,male
Mark Dindal,1997,Mark,male
Tim Robbins,1999,Tim,male
Steven Soderbergh,2006,Steven,male
Tom Reeve,2004,Tom,male
Francis Ford Coppola,1979,Francis Ford,NA
Nanette Burstein,2010,Nanette,female
Stephen Herek,1995,Stephen,male
Sydney Pollack,1985,Sydney,female
Robert Zemeckis,2012,Robert,male
Wes Anderson,2014,Wes,male
Scott Hicks,2001,Scott,male
Frank Marshall,1990,Frank,male
Gregory Hoblit,2000,Gregory,male
John Francis Daley,2015,John Francis,NA
Barry Sonnenfeld,1995,Barry,male
Rob Marshall,2002,Rob,male
Dennis Dugan,1999,Dennis,male
J.B. Rogers,2001,J.B.,NA
John Lasseter,1995,John,male
Jan de Bont,1994,Jan de,NA
Michael Sucsy,2012,Michael,male
Tom Vaughan,2010,Tom,male
Boaz Yakin,2000,Boaz,male
John McTiernan,1990,John,male
Lee Daniels,2013,Lee,male
Rawson Marshall Thurber,2004,Rawson Marshall,NA
Barry Sonnenfeld,1991,Barry,male
Steve Oedekerk,1995,Steve,male
Garry Marshall,2001,Garry,male
Hugh Wilson,1996,Hugh,male
David Fincher,1995,David,male
Stephen Hillenburg,2004,Stephen,male
Clint Eastwood,2003,Clint,male
Clint Eastwood,2004,Clint,male
Harold Ramis,1999,Harold,male
Nick Cassavetes,2004,Nick,male
Anne Fletcher,2008,Anne,female
Peter Chelsom,2009,Peter,male
Barbra Streisand,1991,Barbra,female
Edward Zwick,1994,Edward,male
Jason Reitman,2009,Jason,male
Alexander Payne,2002,Alexander,male
Jonathan Levine,2013,Jonathan,male
Rian Johnson,2012,Rian,male
Chris Weitz,2001,Chris,male
David Frankel,2012,David,male
Nicholas Stoller,2008,Nicholas,male
John Singleton,2005,John,male
Michael McCullers,2008,Michael,male
Forest Whitaker,1998,Forest,male
Gary Winick,2009,Gary,male
Steven Brill,2004,Steven,male
Gary Winick,2004,Gary,male
Ted Demme,2001,Ted,male
Luis Mandoki,1999,Luis,male
William Shatner,1989,William,male
John Schultz,2002,John,male
Peter Segal,1994,Peter,male
Richard LaGravenese,2007,Richard,male
Frederik Du Chau,2005,Frederik Du,NA
Gary Winick,2010,Gary,male
Ridley Scott,1989,Ridley,male
Bobby Farrelly,2012,Bobby,male
James Gartner,2006,James,male
Denis Villeneuve,2015,Denis,male
Antoine Fuqua,2015,Antoine,male
Sam Raimi,2009,Sam,male
Lee Toland Krieger,2015,Lee Toland,NA
Tim McCanlies,2003,Tim,male
Jon M. Chu,2010,Jon M.,NA
John Stockwell,2002,John,male
Marc Forster,2006,Marc,male
David Slade,2007,David,male
Drew Goddard,2012,Drew,male
Jason Friedberg,2008,Jason,male
Martin Brest,1988,Martin,male
Paul Michael Glaser,1987,Paul Michael,NA
Frank Oz,1986,Frank,male
Joe Wright,2011,Joe,male
John R. Leonetti,1997,John R.,NA
Tom Hanks,2011,Tom,male
Kimberly Peirce,2013,Kimberly,female
Liz Friedlander,2006,Liz,female
Phil Joanou,2006,Phil,male
Sam Weisman,2001,Sam,male
Shane Acker,2009,Shane,male
Steven Soderbergh,2013,Steven,male
Martha Coolidge,2004,Martha,female
Stephen J. Anderson,2011,Stephen J.,NA
Troy Miller,2003,Troy,male
Warren Beatty,1998,Warren,male
Tate Taylor,2014,Tate,male
Carl Franklin,1998,Carl,male
Brett Leonard,1995,Brett,male
Ivan Reitman,2006,Ivan,male
Scott Derrickson,2014,Scott,male
Alister Grierson,2011,Alister,NA
Nick Hurran,2004,Nick,male
Nicholas Stoller,2012,Nicholas,male
Charles Stone III,2004,Charles Stone,NA
Paul Haggis,2010,Paul,male
Kurt Wimmer,2006,Kurt,male
Jean-François Richet,2005,Jean-François,NA
Antoine Fuqua,1998,Antoine,male
Kevin Hooks,1996,Kevin,male
Ellory Elkayem,2002,Ellory,NA
Edward Zwick,2010,Edward,male
Jon Avnet,2007,Jon,male
Niki Caro,2005,Niki,female
Howard Deutch,2004,Howard,male
Willard Huyck,1986,Willard,male
Gavin O'Connor,2008,Gavin,male
Bruce Hunt,2005,Bruce,male
Rob Reiner,2003,Rob,male
Paul McGuigan,2004,Paul,male
Craig Gillespie,2011,Craig,male
Terrence Malick,2005,Terrence,male
Chris Roberts,1999,Chris,male
Neil Jordan,1999,Neil,male
James Wong,2009,James,male
Jee-woon Kim,2013,Jee-woon,NA
Nick Hamm,2004,Nick,male
Andy Cadiff,2004,Andy,male
Mike Disa,2011,Mike,male
Lasse Hallström,2005,Lasse,NA
Brad Furman,2013,Brad,male
Peter Howitt,2001,Peter,male
Edward Zwick,1989,Edward,male
Niels Arden Oplev,2013,Niels Arden,NA
Michael Radford,2004,Michael,male
Steve Boyum,2005,Steve,male
Corey Yuen,2006,Corey,male
Andrew Dominik,2007,Andrew,male
Simon West,2015,Simon,male
Marc Forster,2011,Marc,male
Greg Tiernan,2016,Greg,male
Elizabeth Banks,2015,Elizabeth,female
James Mangold,2005,James,male
Edward Norton,2000,Edward,male
Ron Howard,2008,Ron,male
George Clooney,2002,George,male
Ben Falcone,2016,Ben,male
Lawrence Kasdan,1999,Lawrence,male
John Maybury,2005,John,male
Ron Clements,1992,Ron,male
F. Gary Gray,2015,F. Gary,NA
Steven Spielberg,1984,Steven,male
Igor Kovalyov,1998,Igor,male
Lee Tamahori,2001,Lee,male
John McTiernan,1988,John,male
Adam McKay,2015,Adam,male
Ang Lee,2009,Ang,NA
Gavin O'Connor,2004,Gavin,male
Zack Snyder,2004,Zack,male
Wes Anderson,2001,Wes,male
James Mangold,2003,James,male
Jon Turteltaub,2013,Jon,male
Peter Chelsom,2001,Peter,male
Lasse Hallström,2013,Lasse,NA
Kenny Ortega,1993,Kenny,male
Scott Hicks,2007,Scott,male
Patrick Lussier,2000,Patrick,male
Miguel Arteta,2014,Miguel,male
Ridley Scott,1982,Ridley,male
Michael Caton-Jones,1995,Michael,male
McG,2014,NA,NA
James Gray,2007,James,male
Janusz Kaminski,2000,Janusz,NA
Donald Petrie,2006,Donald,male
Brian Levant,2010,Brian,male
Michael Ritchie,1997,Michael,male
John Carpenter,2001,John,male
David Gordon Green,2015,David Gordon,NA
Burr Steers,2016,Burr,male
Martin Scorsese,1997,Martin,male
Jeff Wadlow,2013,Jeff,male
Judd Apatow,2007,Judd,male
Nick Cassavetes,2009,Nick,male
Gavin Hood,2007,Gavin,male
Nicholas Meyer,1991,Nicholas,male
Callie Khouri,2002,Callie,female
Gary Fleder,1997,Gary,male
John Landis,1980,John,male
Sanaa Hamri,2008,Sanaa,female
Todd Graff,2012,Todd,male
Steve Miner,1999,Steve,male
Philip Kaufman,1983,Philip,male
Richard Linklater,1998,Richard,male
Christian Alvart,2009,Christian,male
E. Elias Merhige,2004,E. Elias,NA
Menno Meyjes,2007,Menno,male
Robert Rodriguez,2011,Robert,male
Jodie Foster,2016,Jodie,female
Joel Schumacher,1999,Joel,male
Barry Levinson,2008,Barry,male
Steve Carr,2009,Steve,male
Mark Waters,2003,Mark,male
Judd Apatow,2005,Judd,male
John Madden,1998,John,male
Scott Frank,2014,Scott,male
Ivan Reitman,1990,Ivan,male
David Gordon Green,2008,David Gordon,NA
Andy Tennant,1998,Andy,male
Kevin Costner,2003,Kevin,male
Joel Schumacher,1990,Joel,male
Richard Attenborough,1977,Richard,male
David R. Ellis,2003,David R.,NA
Scott Stewart,2010,Scott,male
Michael Bay,2013,Michael,male
Paul Weitz,2004,Paul,male
Jonathan Frakes,2002,Jonathan,male
Lawrence Kasdan,1985,Lawrence,male
Jim Sheridan,2009,Jim,male
Kevin Allen,2004,Kevin,male
Garry Marshall,2011,Garry,male
James McTeigue,2012,James,male
Donald Petrie,2004,Donald,male
Bob Rafelson,1996,Bob,male
Michael Cohn,1997,Michael,male
Woody Allen,2001,Woody,male
Alan Shapiro,1996,Alan,male
Tarsem Singh,2015,Tarsem,NA
Mel Gibson,2004,Mel,male
Chris Columbus,1993,Chris,male
Barry Levinson,1988,Barry,male
Oliver Stone,2008,Oliver,male
Michael Hoffman,2014,Michael,male
Mick Jackson,1992,Mick,male
Tate Taylor,2011,Tate,male
Bill Condon,2013,Bill,male
Raja Gosnell,2004,Raja,male
Ronny Yu,2003,Ronny,male
John A. Davis,2001,John A.,NA
Matt Reeves,2008,Matt,male
Michael Pressman,1991,Michael,male
Brian De Palma,1987,Brian De,NA
Ethan Coen,2007,Ethan,male
Tim Story,2014,Tim,male
Charles Herman-Wurmfeld,2003,Charles,male
Andy Fickman,2012,Andy,male
Ivan Reitman,2011,Ivan,male
George P. Cosmatos,1993,George P.,NA
Andrzej Bartkowiak,2000,Andrzej,male
Scott Hicks,2012,Scott,male
Gabor Csupo,2007,Gabor,male
Marc Forster,2004,Marc,male
Tyler Perry,2013,Tyler,male
Joe Carnahan,2011,Joe,male
John Polson,2005,John,male
Adam McKay,2004,Adam,male
Martin Scorsese,1990,Martin,male
Harald Zwart,2003,Harald,male
Kirk Jones,2005,Kirk,male
Brian De Palma,1983,Brian De,NA
Steve Oedekerk,1997,Steve,male
Baltasar Kormákur,2012,Baltasar,male
Brett Ratner,1997,Brett,male
Paul Thomas Anderson,2007,Paul Thomas,NA
Cathy Malkasian,2002,Cathy,female
John Eng,2003,John,male
Malcolm D. Lee,2002,Malcolm D.,NA
Ken Kwapis,2005,Ken,male
Fred Wolf,2008,Fred,male
Bille Woodruff,2005,Bille,female
Craig Gillespie,2014,Craig,male
Dennie Gordon,2003,Dennie,male
Victor Salva,2003,Victor,male
Mark Helfrich,2007,Mark,male
Andrzej Bartkowiak,2003,Andrzej,male
Stephen Daldry,2002,Stephen,male
Andy Fickman,2006,Andy,male
Dwight H. Little,2004,Dwight H.,NA
Kirsten Sheridan,2007,Kirsten,female
Damien Dante Wayans,2009,Damien Dante,NA
Frank Darabont,1994,Frank,male
Bobby Farrelly,1996,Bobby,male
Rupert Wyatt,2014,Rupert,male
John Wells,2013,John,male
Tim Fywell,2005,Tim,male
Nigel Cole,2005,Nigel,male
Spike Lee,1998,Spike,male
Jeremy Leven,1994,Jeremy,male
Lasse Hallström,2010,Lasse,NA
Sylvain White,2010,Sylvain,male
Troy Nixey,2010,Troy,male
Philip G. Atwell,2007,Philip G.,NA
Paul Thomas Anderson,2002,Paul Thomas,NA
Jeff Schaffer,2004,Jeff,male
Paul Feig,2006,Paul,male
James Bridges,1988,James,male
Bill Paxton,2005,Bill,male
Richard Kelly,2009,Richard,male
Carter Smith,2008,Carter,male
John Schlesinger,2000,John,male
Wes Craven,2010,Wes,male
Luke Greenfield,2004,Luke,male
Ringo Lam,1996,Ringo,male
Bruce McCulloch,2002,Bruce,male
Akiva Schaffer,2007,Akiva,male
David R. Ellis,2011,David R.,NA
Alan Parker,1999,Alan,male
Ivan Reitman,2014,Ivan,male
Robert Redford,2010,Robert,male
Catherine Hardwicke,2005,Catherine,female
John Carpenter,1986,John,male
Gavin O'Connor,2011,Gavin,male
Ron Maxwell,1993,Ron,male
Kimberly Peirce,2008,Kimberly,female
Stephen Gaghan,2002,Stephen,male
Jonathan Kaplan,1999,Jonathan,male
Ole Bornedal,2012,Ole,male
Richard Benjamin,1996,Richard,male
Rod Lurie,2011,Rod,male
